skill,rank,required_point,point_type,note,order
제작,연습 → F,5,sp,,1
제작,F → E,8,sp,,2
제작,E → D,15,sp,,3
제작,D → C,20,sp,,4
채광,연습 → F,2,sp,,1
채광,F → E,6,sp,,2
채광,E → D,8,sp,,3
채광,D → C,10,sp,,4
채광,C → B,12,sp,,5
채광,B → A,15,sp,,6
벌목,연습 → F,2,sp,,1
벌목,F → E,6,sp,,2
벌목,E → D,8,sp,,3
벌목,D → C,10,sp,,4
벌목,C → B,12,sp,,5
벌목,B → A,15,sp,,6
보물찾기,연습 → F,2,sp,,1
보물찾기,F → E,6,sp,,2
보물찾기,E → D,8,sp,,3
보물찾기,D → C,10,sp,,4
보물찾기,C → B,12,sp,,5
보물찾기,B → A,15,sp,,6
낚시,연습 → F,2,sp,,1
낚시,F → E,6,sp,,2
낚시,E → D,8,sp,,3
낚시,D → C,10,sp,,4
낚시,C → B,12,sp,,5
낚시,B → A,15,sp,,6
택배,연습 → F,2,sp,,1
택배,F → E,6,sp,,2
택배,E → D,8,sp,,3
택배,D → C,10,sp,,4
택배,C → B,12,sp,,5
택배,B → A,15,sp,,6
컴뱃롤,연습 → F,2,sp,,1
컴뱃롤,F → E,4,sp,,2
컴뱃롤,E → D,6,sp,,3
컴뱃롤,D → C,8,sp,,4
컴뱃롤,C → B,10,sp,,5
컴뱃롤,B → A,14,sp,,6
돌진,연습 → F,2,sp,,1
돌진,F → E,4,sp,,2
돌진,E → D,6,sp,,3
돌진,D → C,8,sp,,4
돌진,C → B,10,sp,,5
돌진,B → A,14,sp,,6
운전,연습 → F,10,sp,,1
운전,F → E,,sp,,2
운전,E → D,,sp,,3
운전,D → C,,sp,,4
피스톨 마스터리,연습 → F,,sp,,1
피스톨 마스터리,F → E,,sp,,2
피스톨 마스터리,E → D,,sp,,3
피스톨 마스터리,D → C,,sp,,4
차량 정비,연습 → F,,sp,,1
차량 정비,F → E,,sp,,2
차량 정비,E → D,,sp,,3
차량 정비,D → C,,sp,,4
전력질주,연습 → F,,sp,,1
전력질주,F → E,,sp,,2
전력질주,E → D,,sp,,3
전력질주,D → C,,sp,,4
체력,연습 → F,,sp,,1
체력,F → E,,sp,,2
체력,E → D,,sp,,3
체력,D → C,,sp,,4
감정,연습 → F,,sp,,1
감정,F → E,,sp,,2
감정,E → D,,sp,,3
감정,D → C,20,sp,,4
채집,연습 → F,,sp,,1
채집,F → E,,sp,,2
채집,E → D,,sp,,3
채집,D → C,,sp,,4
목재 가공,연습 → F,,sp,,1
목재 가공,F → E,,sp,,2
목재 가공,E → D,,sp,,3
목재 가공,D → C,,sp,,4
재련,연습 → F,,sp,,1
재련,F → E,,sp,,2
재련,E → D,,sp,,3
재련,D → C,,sp,,4
절도,연습 → F,,sp,,1
절도,F → E,,sp,,2
절도,E → D,,sp,,3
절도,D → C,,sp,,4
요리,연습 → F,,sp,,1
요리,F → E,,sp,,2
요리,E → D,,sp,,3
요리,D → C,,sp,,4
요리,C → B,,sp,,5
요리,B → A,,sp,,6
SMG 마스터리,연습 → F,,sp,,1
SMG 마스터리,F → E,,sp,,2
SMG 마스터리,E → D,,sp,,3
SMG 마스터리,D → C,,sp,,4
